status,id_kelamin,kelurahan,dusun,id_hub_rumah_tangga,id_hub_keluarga,usia,id_nikah,id_difable,id_penyakit_kronis,id_partisipasi_sekolah,id_pendidikan,id_ijazah,id_pekerjaan,id_status_dalam_pekerjaan,id_keberadaan,nama_sls,jml_anggota_keluarga,sta_bangunan,sta_lahan,luas_lantai,lantai,dinding,kondisi_dinding,atap,kondisi_atap,jumlah_kamar,sumber_air_minum,cara_peroleh_air_minum,sumber_penerangan,daya,bb_masak,fas_bab,kloset,buang_tinja,ada_tabung_gas,ada_lemari_es,ada_ac,ada_pemanas,ada_telepon,ada_tv,ada_emas,ada_laptop,ada_sepeda,ada_motor,ada_mobil,ada_perahu,ada_motor_tempel,ada_perahu_motor,ada_kapal,aset_tak_bergerak,luas_atb,rumah_lain,jumlah_sapi,jumlah_kerbau,jumlah_kuda,jumlah_babi,jumlah_kambing,sta_art_usaha
miskin,2,Sendangadi,12,3,3,20,1,0,0,2,,3,,,1,JOMBLANG,3,3,2,70,4,1,2,4,2,3,6,3,1,2,3,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,12,3,3,22,1,0,0,2,,3,13,4,1,JOMBLANG,3,3,2,70,4,1,2,4,2,3,6,3,1,2,3,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,12,1,1,41,3,0,0,2,,2,21,4,1,JOMBLANG,3,3,2,70,4,1,2,4,2,3,6,3,1,2,3,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,14,3,3,40,1,0,0,2,,3,21,4,1,DUWET,3,1,1,40,1,2,2,2,1,6,3,3,1,1,8,1,1,3,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,14,2,2,67,2,0,0,2,,1,21,4,1,DUWET,3,1,1,40,1,2,2,2,1,6,3,3,1,1,8,1,1,3,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,14,1,1,68,2,0,0,2,,1,21,7,1,DUWET,3,1,1,40,1,2,2,2,1,6,3,3,1,1,8,1,1,3,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,8,3,3,18,1,0,0,1,,2,,,1,MLATI GLODONG,3,1,1,4,6,1,2,4,2,2,5,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,8,2,2,42,2,0,0,2,,3,18,4,1,MLATI GLODONG,3,1,1,4,6,1,2,4,2,2,5,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,8,1,1,46,2,0,0,2,,2,13,7,1,MLATI GLODONG,3,1,1,4,6,1,2,4,2,2,5,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,4,3,3,39,1,1,0,2,,2,,,1,MRAEN,2,1,1,34,6,1,2,4,2,2,6,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,4,1,1,60,4,0,0,2,,1,21,7,1,MRAEN,2,1,1,34,6,1,2,4,2,2,6,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,9,3,3,1,1,0,0,,,,,,1,JATIREJO,3,2,3,45,2,1,2,4,2,1,6,3,1,3,3,1,2,3,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,9,3,3,5,1,0,0,,,,,,1,JATIREJO,3,2,3,45,2,1,2,4,2,1,6,3,1,3,3,1,2,3,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,9,1,1,25,1,0,0,2,,2,21,4,1,JATIREJO,3,2,3,45,2,1,2,4,2,1,6,3,1,3,3,1,2,3,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,1,3,3,45,1,0,0,2,,3,21,4,1,MLATI KRAJAN,2,1,1,70,4,1,2,4,2,2,3,3,1,1,2,1,1,3,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,100,4,0,0,0,0,0,2
miskin,2,Sendangadi,1,1,1,68,4,0,0,2,,2,,,1,MLATI KRAJAN,2,1,1,70,4,1,2,4,2,2,3,3,1,1,2,1,1,3,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,100,4,0,0,0,0,0,2
miskin,2,Sendangadi,1,3,3,21,1,0,0,2,,3,21,7,1,MLATI KRAJAN,3,1,1,55,4,1,2,4,2,2,6,3,1,1,2,1,1,3,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,1,55,4,0,0,0,0,0,2
miskin,2,Sendangadi,1,2,2,56,2,0,0,2,,2,,,1,MLATI KRAJAN,3,1,1,55,4,1,2,4,2,2,6,3,1,1,2,1,1,3,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,1,55,4,0,0,0,0,0,2
miskin,1,Sendangadi,1,1,1,63,2,0,0,2,,2,21,7,1,MLATI KRAJAN,3,1,1,55,4,1,2,4,2,2,6,3,1,1,2,1,1,3,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,1,55,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,3,3,6,1,0,0,1,,,,,1,JONGKE LOR,4,1,2,48,4,1,2,4,2,3,7,3,1,1,3,2,1,2,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,11,3,3,11,1,0,0,1,,,,,1,JONGKE LOR,4,1,2,48,4,1,2,4,2,3,7,3,1,1,3,2,1,2,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,2,2,40,2,0,0,2,,3,,,1,JONGKE LOR,4,1,2,48,4,1,2,4,2,3,7,3,1,1,3,2,1,2,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,11,1,1,41,2,0,0,2,,2,21,7,1,JONGKE LOR,4,1,2,48,4,1,2,4,2,3,7,3,1,1,3,2,1,2,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,3,3,23,1,0,0,2,,3,21,7,1,JONGKE LOR,4,1,1,48,4,1,2,4,2,3,7,3,1,1,3,1,1,2,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,11,3,3,38,2,0,0,2,,3,21,7,1,JONGKE LOR,4,1,1,48,4,1,2,4,2,3,7,3,1,1,3,1,1,2,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,2,2,60,2,0,0,2,,1,,,1,JONGKE LOR,4,1,1,48,4,1,2,4,2,3,7,3,1,1,3,1,1,2,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,11,1,1,65,2,0,0,2,,1,21,7,1,JONGKE LOR,4,1,1,48,4,1,2,4,2,3,7,3,1,1,3,1,1,2,2,3,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,3,3,4,1,0,0,,,,,,1,JONGKE LOR,4,1,1,36,2,1,2,4,2,2,7,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,3,3,7,1,0,0,1,,,,,1,JONGKE LOR,4,1,1,36,2,1,2,4,2,2,7,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,11,2,2,34,2,0,0,2,,3,,,1,JONGKE LOR,4,1,1,36,2,1,2,4,2,2,7,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,11,1,1,39,2,0,0,2,,1,21,7,1,JONGKE LOR,4,1,1,36,2,1,2,4,2,2,7,3,1,1,3,1,1,3,2,4,2,4,2,3,2,4,2,3,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,3,3,3,5,1,0,0,,,,,,1,NGEMPLAK NGANTI,4,5,4,18,6,1,2,4,2,1,7,3,2,,8,2,1,6,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,3,3,3,8,1,0,0,1,,,,,1,NGEMPLAK NGANTI,4,5,4,18,6,1,2,4,2,1,7,3,2,,8,2,1,6,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,2,Sendangadi,3,2,2,32,2,0,0,2,,5,,,1,NGEMPLAK NGANTI,4,5,4,18,6,1,2,4,2,1,7,3,2,,8,2,1,6,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,3,1,1,39,2,0,0,2,,2,,,1,NGEMPLAK NGANTI,4,5,4,18,6,1,2,4,2,1,7,3,2,,8,2,1,6,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,0,4,0,0,0,0,0,2
miskin,1,Sendangadi,5,8,8,11,1,0,0,1,,,,,1,KARANGGENENG,3,1,1,64,6,1,2,4,2,3,7,3,1,6,3,1,1,2,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,70,4,0,0,0,0,0,2
miskin,,Sendangadi,5,2,2,,,0,0,,,,,,,KARANGGENENG,3,1,1,64,6,1,2,4,2,3,7,3,1,6,3,1,1,2,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,70,4,0,0,0,0,0,2
miskin,1,Sendangadi,5,1,1,25,2,0,0,2,7,2,21,7,,KARANGGENENG,3,1,1,64,6,1,2,4,2,3,7,3,1,6,3,1,1,2,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,70,4,0,0,0,0,0,2
miskin,1,Sendangadi,,3,3,25,1,0,0,,,,,,,,4,1,1,1000,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,117,4,,,,,,1
miskin,1,Sendangadi,,3,3,19,1,0,0,1,4,1,,,,,4,1,1,1000,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,117,4,,,,,,1
miskin,2,Sendangadi,,2,2,55,2,0,0,2,1,1,20,1,,,4,1,1,1000,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,117,4,,,,,,1
miskin,1,Sendangadi,,1,1,59,2,0,0,2,1,1,11,1,,,4,1,1,1000,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,117,4,,,,,,1
miskin,,Sendangadi,,2,2,,,0,0,,,,,,,,2,1,1,840,6,1,2,4,2,1,6,3,1,1,8,2,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,250,4,,,,,,2
miskin,1,Sendangadi,,1,1,65,2,0,0,2,1,1,1,4,,,2,1,1,840,6,1,2,4,2,1,6,3,1,1,8,2,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,250,4,,,,,,2
miskin,2,Sendangadi,,3,3,9,1,0,0,1,1,,,,,,3,1,1,840,6,1,2,4,2,3,6,3,1,1,8,2,1,1,2,3,2,4,2,3,2,4,1,3,2,4,2,4,2,1,500,4,,,,,,2
miskin,2,Sendangadi,,2,2,30,2,0,0,2,4,2,12,4,,,3,1,1,840,6,1,2,4,2,3,6,3,1,1,8,2,1,1,2,3,2,4,2,3,2,4,1,3,2,4,2,4,2,1,500,4,,,,,,2
miskin,1,Sendangadi,,1,1,34,2,0,0,2,4,2,19,4,,,3,1,1,840,6,1,2,4,2,3,6,3,1,1,8,2,1,1,2,3,2,4,2,3,2,4,1,3,2,4,2,4,2,1,500,4,,,,,,2
miskin,1,Sendangadi,,1,1,61,2,0,0,2,1,1,11,7,,,1,1,1,720,2,1,2,4,2,3,6,3,1,1,3,1,1,1,2,3,2,4,2,3,2,4,1,3,2,4,2,4,2,1,150,4,,,,,,2
miskin,,Sendangadi,,3,3,,,0,0,,,,,,,,4,1,1,560,6,1,2,4,2,3,6,3,1,1,3,1,1,1,2,3,2,4,2,3,1,4,1,4,2,4,2,4,2,1,56,4,,,,,,2
miskin,2,Sendangadi,,3,3,13,1,0,0,1,1,,,,,,4,1,1,560,6,1,2,4,2,3,6,3,1,1,3,1,1,1,2,3,2,4,2,3,1,4,1,4,2,4,2,4,2,1,56,4,,,,,,2
miskin,2,Sendangadi,,2,2,32,2,0,0,2,1,1,,,,,4,1,1,560,6,1,2,4,2,3,6,3,1,1,3,1,1,1,2,3,2,4,2,3,1,4,1,4,2,4,2,4,2,1,56,4,,,,,,2
miskin,1,Sendangadi,,1,1,39,2,0,0,2,1,1,11,4,,,4,1,1,560,6,1,2,4,2,3,6,3,1,1,3,1,1,1,2,3,2,4,2,3,1,4,1,4,2,4,2,4,2,1,56,4,,,,,,2
miskin,1,Sendangadi,,3,3,22,1,1,0,1,4,1,,,,,4,1,1,420,2,1,2,4,2,3,6,3,1,2,8,1,1,1,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,1,104,4,,,,,,2
miskin,2,Sendangadi,,3,3,21,1,0,0,1,7,2,,,,,4,1,1,420,2,1,2,4,2,3,6,3,1,2,8,1,1,1,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,1,104,4,,,,,,2
miskin,2,Sendangadi,,2,2,47,2,0,0,2,7,3,,,,,4,1,1,420,2,1,2,4,2,3,6,3,1,2,8,1,1,1,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,1,104,4,,,,,,2
miskin,1,Sendangadi,,1,1,44,2,0,0,2,4,2,11,7,,,4,1,1,420,2,1,2,4,2,3,6,3,1,2,8,1,1,1,2,4,2,4,2,3,2,4,2,4,2,4,2,4,2,1,104,4,,,,,,2
miskin,1,Sendangadi,,3,3,26,1,0,0,2,4,2,11,7,,,2,1,1,900,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,125,4,,,,,,2
miskin,1,Sendangadi,,1,1,51,4,0,0,2,4,2,11,7,,,2,1,1,900,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,125,4,,,,,,2
miskin,2,Sendangadi,,3,3,15,1,0,0,1,4,1,,,,,4,1,1,1150,6,1,2,6,2,2,6,3,1,1,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,115,4,,,,,,1
miskin,1,Sendangadi,,3,3,19,1,0,0,1,7,2,,,,,4,1,1,1150,6,1,2,6,2,2,6,3,1,1,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,115,4,,,,,,1
miskin,2,Sendangadi,,2,2,49,2,0,0,2,4,2,12,1,,,4,1,1,1150,6,1,2,6,2,2,6,3,1,1,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,115,4,,,,,,1
miskin,1,Sendangadi,,1,1,55,2,0,0,2,4,2,11,1,,,4,1,1,1150,6,1,2,6,2,2,6,3,1,1,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,115,4,,,,,,1
miskin,1,Sendangadi,,3,3,16,1,0,0,1,7,2,,,,,5,2,2,400,6,1,2,4,2,1,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,,3,,,,,,1
miskin,1,Sendangadi,,3,3,32,1,0,0,2,7,3,11,4,,,5,2,2,400,6,1,2,4,2,1,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,,3,,,,,,1
miskin,2,Sendangadi,,3,3,23,1,0,0,2,4,2,,,,,5,2,2,400,6,1,2,4,2,1,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,,3,,,,,,1
miskin,2,Sendangadi,,2,2,53,2,0,0,2,1,1,13,4,,,5,2,2,400,6,1,2,4,2,1,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,,3,,,,,,1
miskin,1,Sendangadi,,1,1,61,2,0,0,2,1,1,11,1,,,5,2,2,400,6,1,2,4,2,1,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,2,,3,,,,,,1
miskin,2,Sendangadi,,2,2,42,2,0,0,2,1,1,,,,,2,1,1,980,2,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,195,4,,,,,,2
miskin,1,Sendangadi,,1,1,52,2,0,0,2,1,1,11,4,,,2,1,1,980,2,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,195,4,,,,,,2
miskin,2,Sendangadi,,3,3,18,1,0,0,1,7,2,,,,,2,1,1,300,6,1,2,4,2,1,10,3,1,6,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,30,4,,,,,,2
miskin,2,Sendangadi,,1,1,52,4,0,0,2,1,1,19,4,,,2,1,1,300,6,1,2,4,2,1,10,3,1,6,8,4,4,4,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,30,4,,,,,,2
miskin,2,Sendangadi,,3,3,21,1,0,0,1,7,2,,,,,4,1,1,540,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,3,2,4,2,3,2,4,1,4,2,4,2,4,2,1,54,4,,,,,,2
miskin,1,Sendangadi,,3,3,9,1,0,0,1,1,,,,,,4,1,1,540,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,3,2,4,2,3,2,4,1,4,2,4,2,4,2,1,54,4,,,,,,2
miskin,2,Sendangadi,,2,2,44,2,0,0,2,1,1,,,,,4,1,1,540,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,3,2,4,2,3,2,4,1,4,2,4,2,4,2,1,54,4,,,,,,2
miskin,1,Sendangadi,,1,1,50,2,0,0,2,1,1,11,4,,,4,1,1,540,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,3,2,4,2,3,2,4,1,4,2,4,2,4,2,1,54,4,,,,,,2
miskin,1,Sendangadi,,3,3,22,1,0,0,2,7,3,,,,,3,1,1,840,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,250,4,,,,,,2
miskin,2,Sendangadi,,2,2,61,2,0,0,2,1,1,,,,,3,1,1,840,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,250,4,,,,,,2
miskin,1,Sendangadi,,1,1,63,2,0,0,2,1,1,11,4,,,3,1,1,840,6,1,2,4,2,2,6,3,1,1,8,1,1,1,2,4,2,4,2,3,2,4,1,4,2,4,2,4,2,1,250,4,,,,,,2
miskin,1,Sendangadi,,3,3,12,1,0,0,1,1,,,,,,4,1,1,500,6,1,2,4,2,2,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,110,4,,,,,,2
miskin,1,Sendangadi,,3,3,21,1,0,0,1,4,1,,,,,4,1,1,500,6,1,2,4,2,2,6,3,1,1,3,1,1,1,2,4,2,4,2,3,2,4,1,3,2,4,2,4,2,1,110,4,,,,,,2
